content,times,title
"月,日,艺术学院视觉传达设计专业,级,班,班,包装设计,课程作业展在普教楼,楼走廊大厅展出,指导教师为谢如红,郑蕾,本次展览共展出学生作品,余套,均为学生根据所调查的品牌商品所设计的葡萄酒包装和食品包装,突出商业性与艺术性的结合,通过展览为同学们提供了相互学习交流的机会,郑蕾","9,Jan",2012级视觉传设计专业《包装设计1》课程作业展
"年,月,日,上午,艺术设计学院在博雅楼,召开了党政联席会,会议由党总支书记于学江主持,会议纪要如下,一,关于修订艺术设计学院,年工作要点事宜,会议听取了党总支书记于学江关于对艺术设计学院,年工作要点进行修改的意见和建议,一是按照,年学院应该达到的学院学生,人,来制定,年计划招生人数,二是在加强大学生思想政治教育中加入爱校荣校教育及养成教育,经研究决定,由办公室主任汪健负责按照以上两点修改意见对,年工作计划进行修订后,提交学校办公室,二,关于学院经费支出上党政联席会金额调整事宜,会议听取了党总支书记于学江关于学院经费支出上党政联席会金额调整的事宜,原定金额为,元,随着经济水平的提高,及学院支出金额的增加,申请金额调整为,元,经研究决定,学院经费支出上党政联席会金额调整为,元,并由办公室主任汪健负责修改相关文件制度,三,关于制定学院行政岗位人员外出学习规定事宜,会议听取了党总支书记于学江关于制定学院行政岗位人员外出学习规定事宜,目前我院暂无关于教辅及行政管理人员外出学习制度文件,为促进学院行政管理工作水平的提升,建议每年派出部分管理人员外出参加学习,会议或到其他高校进行考察学习,经研究决定,由办公室负责起草相关文件制度,对外出学习审核,报销及外出补贴进行规范,出席,党总支书记于学江,院长张利,办公室主任汪健,山东女子学院艺术设计学院办公室,年,月,日","9,Jan",党政联席会纪要（2018.1）
,"9,Jan",韩国新罗大学应邀访问我校
,"9,Jan",环境艺术专业07级举办展示作业展
"年,月,日,日,我院服装系,级服装设计专业在合班楼一楼大厅举办,女装工艺,课程作品展览,这次展览是,级学生们在任课教师张爱梅老师的精心指导下,通过,周,女装工艺,课程学习的成果展示,本次展览展示了女衬衫,女套装等学生亲自参与设计并动手制作的,余件作品,所展示作品中包含了所有学生和任课教师的辛勤努力,更进一步体现了服装专业学生实践操作能力","9,Jan",服装系举办《女装工艺》课程作品展
"月,日,文化艺术学院团总支在合班楼,举办了,青春与祖国同行,纪念一二,九合唱比赛,文华艺术学院党总支副书记,副院长王仕忠,各专业辅导员和老师,级各专业代表队和全院同学参加了纪念活动,合唱比赛通过纪念,一二,九运动,以,青春与祖国同行,为主题,分为必选曲目,光荣啊,共青团,和各专业队自选曲目,各专业代表队精心设计,纵情歌唱,激烈角逐,环境艺术设计专业代表队,艺术设计,本科,专业代表队,服装设计专业代表队在比赛中脱颖而出,分获一,二,三等奖,新闻采编与制作,动漫艺术设计,人物形象与设计,文化事业管理,视觉传达等专业代表队分获优秀组织奖,艺术设计,本科,专业代表队指挥刘恩博同学获,最佳指挥奖,比赛过程中,学生会还安排了,艺苑文化节,闭幕颁奖仪式,音乐,舞蹈等节目,比赛现场豪情万丈,斗志昂扬,本次合唱比赛,唱响了当代青年学生热爱祖国,振兴中华的远大志向,增强了同学们在创先争优中,团结,合作,共赢的竞争意识,进一步展现了文化艺术学院各专业学生乐观积极,团结向上的精神风貌","9,Dec",文化艺术学院举办纪念一二.九合唱比赛
"月,日上午,点,分,文化艺术学院教师牟晓东在普教楼,教室举办,关于韩国艺术设计教学的研究,讲座,讲座围绕韩国艺术设计教学的课程安排,教学形式和毕业展示进行了深入阐释,并且和中国目前的艺术设计教学进行了比较,此次讲座使学生对韩国艺术设计教学有了初步了解,开拓了视野,推动学生对当前的艺术设计教育进行了实验性思考和讨论,得到学生好评","9,Dec",牟晓东举办《关于韩国艺术设计教学的研究》讲座
"月,日下午,胡升秀书记亲临我院参观指导,在参观作品的过程中,胡书记对每件作品提出了很多建设性的建议,对我院艺术专业的办学成绩和学科发展给予了积极的评价,对这次作品展的成功举办及其积极意义进行了充分肯定,胡书记表示这次展览不但集中体现了我院教师较高的艺术素养,而且也是我院美术设计系学科发展与建设的重要里程碑","9,Dec",胡升秀书记亲临我院参观教师作品展
"月,日至,月,日,文化艺术学院李甲老师和蔡利勤老师带领我院,级艺术设计专业学生在江西省景德镇市瑶里镇写生,在写生期间,在教授学生专业知识的同时,老师们号召同学们开展,捡拾垃圾,美化景区,学雷锋活动,写生是一项教学活动,可以提高学生专业技能,丰富人生阅历,增长见识,学院历来重视写生教学,支持写生实践,瑶里镇旅游资源十分丰富,素有,瓷之源,茶之乡,林之海,的美称,自开发旅游以来,游客逐渐增多,少数游客环保意识淡薄,乱扔垃圾现象严重,在完成当天写生任务返回时,在老师的号召下,同学们自觉自愿的加入到学雷锋活动中来,同学们一路把两边草丛中,河边石滩上的垃圾捡起,用塑料袋装好,带出景区,就这样,同学们从写生第一天开始,一直到坚持到写生结束,同学们的雷锋精神让当地群众深受感动,瑶里镇镇长代表镇政府对我院学生提出了表扬,称我院学生为当代学子的楷模,当地群众也向学生们伸出了大拇指,他们说,同学们的举动让他们懂得了什么是无私奉献,他们称山东女子学院的学生就是好,这些学生具有当代大学生纯洁的心灵及高尚的品格,同学们用自己的努力为保护景区环境做了自己力所能及的事,此次活动强化了同学们的环保意识及学习雷锋助人为乐的意识,经过这次活动,也体现出了我院学生良好的精神风貌,受到了当地群众的一致好评,其他院校的学生也纷纷效仿,大家表示这类的活动以后要多参加,用自己的行动向雷锋同志学习,为学院争光,为建设美丽祖国做出自己的贡献","9,Apr",学雷锋系列活动之外出写生美化景区
,"9,Apr",我院装潢艺术设计专业学生专升本交流会
"年,月,日上午,文化艺术学院团总支组织,多名学生代表赴英雄山革命烈士公墓进行扫墓活动,此次活动的目的是祭扫烈士公墓,缅怀先烈事迹,告慰先烈英灵,同时也是为了响应胡锦涛总书记落实科学发展观构建和谐社会的号召,增强同学们的爱国热情,时许,全体人员参加了悼念革命烈士大会,并集体默哀,分钟以示对先烈们的崇敬和深切悼念,随后,我院学生代表敬献花圈,最后在文化艺术学院团总支曹雪莲书记的带领下,同学们参观了革命烈士公墓,瞻仰为国捐躯的先烈们,通过此次活动进一步加深了同学们的爱国情结,看着革命先烈的英雄事迹无不激励着我们当代的大学生,学习他们不怕苦的乐观主义精神,从而使同学们更加勤奋刻苦的学习科学文化知识,日后为祖国的繁荣昌盛贡献自己的力量,缅怀先烈就是要让我们增加建设祖国的使命感,然而在建设有中国特色的社会主义的道路上,我们只有以科学发展观为指导,坚持以人为本,自主创新,把握创建和谐社会的时代特征,才能创建社会主义的和谐社会,为祖国贡献我们的力量","9,Apr",缅怀革命先烈   弘扬爱国精神
,"8,Sep",我院2008级新闻专业举办综合实训成果展
"丹桂飘香,金风送爽的九月,带着金色收获和绿色梦想的莘莘学子踏上女子学院这片热土,开始他们人生新的征程,为学院注入青春的血液和活力,为了做好迎新工作,文化艺术学院从上到下做了充分的准备,院领导班子提前召开了迎新工作碰头会议,具体安排了迎新工作各项准备事宜,月,日下午,在学院领导的安排和带领下,我院团总支,学生会经过精心的筹备,在合班楼大厅布置了迎新现场,使整个迎新环境明白温馨,月,日,点,我院迎新工作人员已全部在各自岗位,以饱满的精神准备迎接新生的到来,整个迎新现场人声鼎沸,不仅有刚入校的新生,更有披着绶带迎接新生志愿者,整个迎新现场秩序井然,当一辆辆载新生的车子驶入校园的时候,志愿者热情引导,以便让手足无措的新生们能够尽快找到自己的位置,在志愿者热情地带领下,新生们顺利地来到了报到现场,新生快速而井然有序地完成了注册手续,院领导也抽时间来到迎新现场,与新生和家长见面,了解情况,为他们解决一些实际问题,本次迎新工作,共接待新生,余名,没有出现任何不愉快的事情,我院全体师生积极热情的态度,细微周到的服务充分体现出我们文化术学院学院的风采,各级领导们对我院迎新工作给予了高度的评价,对新生示以深切关怀,让新生们在初入大学的时刻感受到无限的温暖,使他们对以后的大学生活充满信心","8,Sep",用心迎新 真情“赢心”
"为了提高学生完整,系统的认识,理解室内设计的风格类型,环境设计,团支部在博学楼五楼举办了,室内设计原理,作品展,室内设计是环境设计专业的专业必修课,该课程内容包括室内设计的基本概念,设计过程,学习方法和评价原则,介绍了室内设计的演化过程和发展趋势,分析了室内设计的基本原则和室内空间的造型元素,在此基础上,进一步详细探讨了室内界面及部件的装饰设计,探讨了室内环境中的内含物布置,室内设计中的其他相关学科和特殊人群的室内设计等内容,此次作品展通过学习了解室内设计的工作范围,工作程序,设计原理与要求,把握相关概念和原理的区别和联系,熟练运用基本原理解决实践中遇到的实际问题,学会运用室内设计原理完成实际工程中的实际任务","8,Oct",七个一活力团支部建设工程之环境设计1801团支部举办《室内设...
